rule_id,name,rule_set_id,category,confidence,requires_sme_review,sme_review_note,description,condition_text,pattern,is_duplicated,primary_program,primary_paragraph,primary_line
RULE-VALIDATE-LS-PROCESS-ID-MEETS-CRITERIA,Validate LS PROCESS ID meets criteria,VALIDATION,VALIDATION,medium,False,,"Validate LS PROCESS ID meets criteria. When WS-RECOVER-PROCESS AND LS-PROCESS-ID = SPACES, the system applies this rule. Implemented in program RCVPRC00, paragraph 1300-SET-RECOVERY-MODE.",WS-RECOVER-PROCESS AND LS-PROCESS-ID = SPACES,MULTI_CONDITION,False,RCVPRC00,1300-SET-RECOVERY-MODE,
RULE-VALIDATE-PSR-RESTARTABLE-PSR-RESTARTABLE,Validate PSR RESTARTABLE psr restartable,VALIDATION,VALIDATION,high,False,,"Validate PSR RESTARTABLE psr restartable. When PSR-RESTARTABLE, the system applies this rule. Implemented in program RCVPRC00, paragraph 2110-DETERMINE-ACTION.",PSR-RESTARTABLE,CONDITION_NAME,False,RCVPRC00,2110-DETERMINE-ACTION,
RULE-ENFORCE-BCT-MAXIMUM-RESTARTS-HAS-REQUIRED-VALUE,Enforce BCT Maximum RESTARTS has required value,LIMIT_CHECK,LIMIT_CHECK,medium,True,,"Enforce BCT Maximum RESTARTS has required value. When BCT-RESTART-COUNT > BCT-MAX-RESTARTS, the system applies this rule. Implemented in program RCVPRC00, paragraph 2110-DETERMINE-ACTION.",BCT-RESTART-COUNT > BCT-MAX-RESTARTS,FIELD_VALUE_COMPARE,False,RCVPRC00,2110-DETERMINE-ACTION,
RULE-VALIDATE-BCT-PROCESS-DATE-EQUALS-SPECIFIED-VALUE,Validate BCT PROCESS Date equals specified value,VALIDATION,VALIDATION,medium,True,,"Validate BCT PROCESS Date equals specified value. When BCT-PROCESS-DATE = LS-PROCESS-DATE, the system applies this rule. Implemented in program RCVPRC00, paragraph 2200-RECOVER-SEQUENCE.",BCT-PROCESS-DATE = LS-PROCESS-DATE,FIELD_VALUE_COMPARE,False,RCVPRC00,2200-RECOVER-SEQUENCE,
RULE-HANDLE-WS-AUDIT-STATUS-IS-00,Handle WS AUDIT STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS AUDIT STATUS is 00. When WS-AUDIT-STATUS NOT = '00', the system applies this rule. Implemented in program RPTAUD00, paragraph 1100-OPEN-FILES.",WS-AUDIT-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,RPTAUD00,1100-OPEN-FILES,
RULE-HANDLE-WS-ERROR-STATUS-IS-00,Handle WS ERROR STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS ERROR STATUS is 00. When WS-ERROR-STATUS NOT = '00', the system applies this rule. Implemented in program RPTAUD00, paragraph 1100-OPEN-FILES.",WS-ERROR-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,RPTAUD00,1100-OPEN-FILES,
RULE-HANDLE-WS-REPORT-STATUS-IS-00,Handle WS REPORT STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS REPORT STATUS is 00. When WS-REPORT-STATUS NOT = '00', the system applies this rule. Implemented in program RPTAUD00, paragraph 1100-OPEN-FILES.",WS-REPORT-STATUS NOT = '00',FIELD_VALUE_COMPARE,True,RPTAUD00,1100-OPEN-FILES,
RULE-HANDLE-WS-POSITION-STATUS-IS-00,Handle WS POSITION STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS POSITION STATUS is 00. When WS-POSITION-STATUS NOT = '00', the system applies this rule. Implemented in program RPTPOS00, paragraph 1100-OPEN-FILES.",WS-POSITION-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,RPTPOS00,1100-OPEN-FILES,
RULE-HANDLE-WS-DB2-STATUS-IS-00,Handle WS DB2 STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS DB2 STATUS is 00. When WS-DB2-STATUS NOT = '00', the system applies this rule. Implemented in program RPTSTA00, paragraph 1100-OPEN-FILES.",WS-DB2-STATUS NOT = '00',FIELD_VALUE_COMPARE,True,RPTSTA00,1100-OPEN-FILES,
RULE-HANDLE-WS-BCH-STATUS-IS-00,Handle WS BCH STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS BCH STATUS is 00. When WS-BCH-STATUS NOT = '00', the system applies this rule. Implemented in program RPTSTA00, paragraph 1100-OPEN-FILES.",WS-BCH-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,RPTSTA00,1100-OPEN-FILES,
RULE-VALIDATE-RESPONSE-NEW-CODE-HAS-REQUIRED-VALUE,Validate Response NEW Code has required value,VALIDATION,VALIDATION,high,False,,"Validate Response NEW Code has required value. When RC-NEW-CODE > RC-HIGHEST-CODE, the system applies this rule. Implemented in program RTNCDE00, paragraph P200-SET-RETURN-CODE.",RC-NEW-CODE > RC-HIGHEST-CODE,FIELD_VALUE_COMPARE,False,RTNCDE00,P200-SET-RETURN-CODE,
RULE-HANDLE-NORMAL-EQUALS-SPECIFIED-VALUE,Handle NORMAL equals specified value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle NORMAL equals specified value. When SEC-RESPONSE-CODE = DFHRESP(NORMAL), the system applies this rule. Implemented in program SECMGR, paragraph END-EXEC.",SEC-RESPONSE-CODE = DFHRESP(NORMAL),FIELD_VALUE_COMPARE,False,SECMGR,END-EXEC,
RULE-VALIDATE-SEC-USER-ID-EQUALS-SPECIFIED-VALUE,Validate SEC USER ID equals specified value,VALIDATION,VALIDATION,medium,True,,"Validate SEC USER ID equals specified value. When SEC-USER-ID = WS-USER-ID, the system applies this rule. Implemented in program SECMGR, paragraph END-EXEC.",SEC-USER-ID = WS-USER-ID,FIELD_VALUE_COMPARE,False,SECMGR,END-EXEC,
RULE-VALIDATE-WS-DB2-AREA-HAS-REQUIRED-VALUE,Validate WS DB2 AREA has required value,VALIDATION,VALIDATION,medium,True,,"Validate WS DB2 AREA has required value. When WS-DB2-AREA > 0, the system applies this rule. Implemented in program SECMGR, paragraph END-EXEC.",WS-DB2-AREA > 0,FIELD_VALUE_COMPARE,False,SECMGR,END-EXEC,
RULE-HANDLE-WS-CFG-STATUS-IS-00,Handle WS CFG STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS CFG STATUS is 00. When WS-CFG-STATUS NOT = '00', the system applies this rule. Implemented in program TSTGEN00, paragraph 1100-OPEN-FILES.",WS-CFG-STATUS NOT = '00',FIELD_VALUE_COMPARE,True,TSTGEN00,1100-OPEN-FILES,
RULE-HANDLE-WS-RAND-STATUS-IS-00,Handle WS RAND STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS RAND STATUS is 00. When WS-RAND-STATUS NOT = '00', the system applies this rule. Implemented in program TSTGEN00, paragraph 1100-OPEN-FILES.",WS-RAND-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,TSTGEN00,1100-OPEN-FILES,
RULE-HANDLE-WS-ERROR-COUNT-HAS-REQUIRED-VALUE,Handle WS ERROR COUNT has required value,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS ERROR COUNT has required value. When WS-ERROR-COUNT > 100, the system applies this rule. Implemented in program TSTGEN00, paragraph 9999-ERROR-HANDLER.",WS-ERROR-COUNT > 100,FIELD_VALUE_COMPARE,True,TSTGEN00,9999-ERROR-HANDLER,
RULE-HANDLE-WS-TEST-STATUS-IS-00,Handle WS TEST STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS TEST STATUS is 00. When WS-TEST-STATUS NOT = '00', the system applies this rule. Implemented in program TSTVAL00, paragraph 1100-OPEN-FILES.",WS-TEST-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,TSTVAL00,1100-OPEN-FILES,
RULE-HANDLE-WS-EXPIRY-STATUS-IS-00,Handle WS Expiry STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS Expiry STATUS is 00. When WS-EXP-STATUS NOT = '00', the system applies this rule. Implemented in program TSTVAL00, paragraph 1100-OPEN-FILES.",WS-EXP-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,TSTVAL00,1100-OPEN-FILES,
RULE-HANDLE-WS-ACT-STATUS-IS-00,Handle WS ACT STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS ACT STATUS is 00. When WS-ACT-STATUS NOT = '00', the system applies this rule. Implemented in program TSTVAL00, paragraph 1100-OPEN-FILES.",WS-ACT-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,TSTVAL00,1100-OPEN-FILES,
RULE-HANDLE-WS-RPT-STATUS-IS-00,Handle WS RPT STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS RPT STATUS is 00. When WS-RPT-STATUS NOT = '00', the system applies this rule. Implemented in program TSTVAL00, paragraph 1100-OPEN-FILES.",WS-RPT-STATUS NOT = '00',FIELD_VALUE_COMPARE,True,TSTVAL00,1100-OPEN-FILES,
RULE-HANDLE-WS-CTL-STATUS-IS-00,Handle WS CTL STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS CTL STATUS is 00. When WS-CTL-STATUS NOT = '00', the system applies this rule. Implemented in program UTLMNT00, paragraph 1100-OPEN-FILES.",WS-CTL-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,UTLMNT00,1100-OPEN-FILES,
RULE-HANDLE-WS-ARCH-STATUS-IS-00,Handle WS ARCH STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS ARCH STATUS is 00. When WS-ARCH-STATUS NOT = '00', the system applies this rule. Implemented in program UTLMNT00, paragraph 1100-OPEN-FILES.",WS-ARCH-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,UTLMNT00,1100-OPEN-FILES,
RULE-HANDLE-WS-ALERT-STATUS-IS-00,Handle WS ALERT STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS ALERT STATUS is 00. When WS-ALERT-STATUS NOT = '00', the system applies this rule. Implemented in program UTLMON00, paragraph 1100-OPEN-FILES.",WS-ALERT-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,UTLMON00,1100-OPEN-FILES,
RULE-VALIDATE-THRESHOLD-MET-HAS-REQUIRED-VALUE,Validate THRESHOLD MET has required value,VALIDATION,VALIDATION,medium,True,,"Validate THRESHOLD MET has required value. When THRESHOLD-MET, the system applies this rule. Implemented in program UTLMON00, paragraph 2400-GENERATE-ALERTS.",THRESHOLD-MET,FIELD_VALUE_COMPARE,False,UTLMON00,2400-GENERATE-ALERTS,
RULE-HANDLE-WS-VAL-STATUS-IS-00,Handle WS VAL STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS VAL STATUS is 00. When WS-VAL-STATUS NOT = '00', the system applies this rule. Implemented in program UTLVAL00, paragraph 1100-OPEN-FILES.",WS-VAL-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,UTLVAL00,1100-OPEN-FILES,
RULE-HANDLE-WS-POS-STATUS-IS-00,Handle WS POS STATUS is 00,ERROR_HANDLING,ERROR_HANDLING,medium,False,,"Handle WS POS STATUS is 00. When WS-POS-STATUS NOT = '00', the system applies this rule. Implemented in program UTLVAL00, paragraph 1100-OPEN-FILES.",WS-POS-STATUS NOT = '00',FIELD_VALUE_COMPARE,False,UTLVAL00,1100-OPEN-FILES,
